case,conversion,selectivity_B,peak_temperature_K,runtime_s,accepted
baseline_batch,0.9337973722557376,0.9673471523308793,334.35561551474194,0.026441426947712898,True
baseline_cstr,0.7314773609333742,0.9672312122768816,333.356488370749,0.026441426947712898,True
baseline_pfr,0.9337973722557875,0.9673471523308852,334.35561551474245,0.026441426947712898,True
response_320_K,0.6887316806215276,0.9684563776506411,323.28878400384093,0.012554957531392574,True
response_340_K,0.7828706046490527,0.9663645491398206,343.73907774097444,0.012554957531392574,True
